file_name,Begin_Time,End_Time,Low_Freq,High_Freq,Center_Freq,Peak_Freq,Call_type,duration,bw
229.enc.61.csv,354.4665613,355.0344877,1136.842,1494.737,1335.938,1335.938,aws,0.5679264,357.895
229.enc.61.csv,461.4801378,461.9983275,526.316,694.737,609.375,609.375,flatws,0.5181897,168.421
229.enc.61.csv,518.350778,518.6792845,1115.789,1263.158,1195.312,1195.312,flatws,0.3285065,147.369
229.enc.61.csv,598.6013338,598.9131365,968.421,1389.474,1148.438,1171.875,uws,0.3118027,421.053
229.enc.61.csv,645.1316723,645.635441,1242.105,1389.474,1312.5,1312.5,flatws,0.5037687,147.369
229.enc.61.csv,685.6843018,686.0462157,778.947,1242.105,984.375,960.938,uws,0.3619139,463.158
229.enc.61.csv,735.9454395,736.2486355,610.526,1103.189,820.312,843.75,dws,0.303196,492.663
229.enc.61.csv,911.4231608,911.7460993,1010.526,1178.947,1101.562,1078.125,flatws,0.3229385,168.421
229.enc.61.csv,1050.190206,1050.530693,803.8,1305.816,1125,1171.875,dws,0.340487,502.016
229.enc.61.csv,1203.409597,1203.800995,863.158,1073.684,937.5,937.5,flatws,0.391398,210.526
229.enc.61.csv,1315.669229,1316.146636,2105.263,3084.428,2414.062,2203.125,dws,0.477407,979.165
229.enc.61.csv,1317.442132,1318.042995,1981.238,3196.998,2343.75,2156.25,dws,0.600863,1215.76
229.enc.61.csv,1319.873213,1320.292158,1981.238,2724.203,2296.875,2367.188,dws,0.418945,742.965
229.enc.61.csv,1381.240384,1381.524268,841.026,1801.126,1007.812,960.938,dws,0.283884,960.1
229.enc.61.csv,1384.208932,1385.895805,720.45,2161.351,867.188,867.188,dws.seq.t,1.686873,1440.901
229.enc.61.csv,1391.546756,1391.797312,1494.737,1789.474,1593.75,1593.75,uws,0.250556,294.737
229.enc.61.csv,1393.779795,1394.150676,1130.4,1778.612,1242.188,1171.875,dws,0.370881,648.212
229.enc.61.csv,1394.101297,1394.928315,738.462,1553.471,960.938,960.938,dws.seq,0.827018,815.009
229.enc.61.csv,1420.55677,1421.036878,1005.128,1242.105,1101.562,1078.125,flatws,0.480108,236.977
229.enc.61.csv,1421.056221,1421.453132,1472.924,2014.44,1617.188,1593.75,dws,0.396911,541.516
229.enc.61.csv,1424.108531,1424.414458,800,1191.336,984.375,960.938,aws,0.305927,391.336
229.enc.61.csv,1446.098704,1446.37645,821.053,1136.842,984.375,960.938,uws,0.277746,315.789
229.enc.61.csv,1454.909792,1455.305113,947.368,1200,1054.688,1054.688,flatws,0.395321,252.632
229.enc.61.csv,1465.88083,1466.237176,842.105,1263.158,984.375,984.375,nws,0.356346,421.053
229.enc.61.csv,1470.80928,1471.843568,1031.579,1221.053,1101.562,1148.438,flatws.seg,1.034288,189.474
229.enc.61.csv,1485.276453,1486.149614,863.158,1052.632,960.938,960.938,flatws.seg,0.873161,189.474
229.enc.61.csv,1487.077312,1487.462389,737.9,1305.816,937.5,937.5,uws,0.385077,567.916
229.enc.61.csv,1487.434456,1488.111827,819.8,1311.7,1031.25,1054.688,modws,0.677371,491.9
229.enc.61.csv,1488.223335,1488.669247,1536.842,1726.316,1640.625,1664.062,flatws,0.445912,189.474
229.enc.61.csv,1499.572383,1499.895321,736.842,1768.421,960.938,843.75,dws,0.322938,1031.579
229.enc.61.csv,1499.917593,1500.240531,1052.632,1200,1125,1125,flatws,0.322938,147.368
229.enc.61.csv,1531.268086,1531.789501,1515.789,1747.368,1593.75,1593.75,flatws,0.521415,231.579
229.enc.61.csv,1662.939932,1663.268143,947.368,1094.737,1031.25,1031.25,flatws,0.328211,147.369
229.enc.61.csv,1663.379258,1663.704505,1494.737,1981.238,1640.625,1640.625,dws,0.325247,486.501
229.enc.61.csv,1664.650819,1665.027912,926.316,1073.684,984.375,984.375,flatws,0.377093,147.368
229.enc.61.csv,1664.986013,1665.495787,1515.789,1705.263,1640.625,1640.625,flatws,0.509774,189.474
229.enc.61.csv,1667.434244,1668.045307,1418.386,1823.64,1617.188,1593.75,modws,0.611063,405.254
229.enc.61.csv,1786.284428,1787.225171,842.105,1825.641,1031.25,1031.25,modws.seg,0.940743,983.536
229.enc.61.csv,2009.757422,2010.545732,630.394,1305.816,914.062,750,modws,0.78831,675.422
229.enc.61.csv,2076.85774,2077.287727,1642.105,1846.154,1734.375,1710.938,flatws,0.429987,204.049
229.enc.61.csv,2086.160379,2086.816385,720.45,1215.76,937.5,1031.25,dws,0.656006,495.31
229.enc.61.csv,2088.8423,2089.078206,774.2,1170.732,1031.25,1031.25,dws,0.235906,396.532
229.enc.61.csv,2117.745281,2118.428851,715.789,863.158,796.875,796.875,flatws,0.68357,147.369
